Number,Title,Source,URL,Date
99,SummerU: Camps for kids offered through the College of Professional Education,No Source,https://news.kennesaw.edu/stories/2020/college-of-professional-education-summeru.php,"February 12, 2020"
100,Kennesaw State University President Emeritus Betty L. Siegel passes away,No Source,https://news.kennesaw.edu/stories/2020/president-emeritus-betty-siegel.php,"February 12, 2020"
101,Kennesaw State to offer two new degrees,No Source,https://news.kennesaw.edu/stories/2020/ksu-new-degrees-hospitality-management-and-cybersecurity.php,"February 11, 2020"
102,Kennesaw State to add more on-campus housing,No Source,https://news.kennesaw.edu/stories/2020/new-residence-hall-approved.php,"February 11, 2020"
103,Written by Whitten | Faculty Committed to Student Success,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/faculty-committed-to-student-success.php,"February 11, 2020"
104,Black and Gold on the Green,No Source,https://news.kennesaw.edu/stories/2020/ksu-logo-sculpture-on-the-green.php,"February 07, 2020"
105,New dean named for Michael J. Coles College of Business,No Source,https://news.kennesaw.edu/stories/2020/coles-college-of-business-dean-named.php,"February 06, 2020"
106,Kennesaw State awarded grants to save students money on textbooks,No Source,https://news.kennesaw.edu/stories/2020/affordable-learning-grants.php,"February 05, 2020"
107,Written by Whitten | Capitol Owls,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/capitol-owls.php,"February 04, 2020"
108,KSU Basketball Hosts Pink Day on Feb. 8,No Source,https://ksuowls.com/news/2020/1/31/womens-basketball-ksu-basketball-hosts-pink-day-on-february-8.aspx,"February 03, 2020"
109,Michael J. Coles College of Business earns reaccreditation,No Source,https://news.kennesaw.edu/stories/2020/coles-college-reaccreditation.php,"January 31, 2020"
110,Facebook Live with the Honors College,No Source,https://news.kennesaw.edu/stories/2020/fb-live-honors-january.php,"January 29, 2020"
111,"Written by Whitten | ""Engineering"" and ""Accounting"" for a Bright Future",No Source,https://president.kennesaw.edu/writtenbywhitten/posts/engineering-and-accounting-for-a-bright-future.php,"January 28, 2020"
112,Scholarship and fellowship workshops planned for Kennesaw State students,No Source,https://news.kennesaw.edu/stories/2020/scholarship-workshops-february.php,"January 28, 2020"
113,KSU professor named Outstanding Educator by American Accounting Association,No Source,https://news.kennesaw.edu/stories/2020/accounting-outstanding-educator-award.php,"January 21, 2020"
114,Written by Whitten | Celebrating a Lasting Legacy,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/celebrating-a-lasting-legacy.php,"January 21, 2020"
115,"KSU Department of Dance to present ""Moon Dust""",No Source,https://arts.kennesaw.edu/dance/about/news/posts/moon_dust_spring_2020.php,"January 20, 2020"
116,Honoring a Legacy,No Source,https://news.kennesaw.edu/stories/2020/mlk-observance-2020.php,"January 17, 2020"
117,Fifth Third Bank Stadium to host professional lacrosse,No Source,https://news.kennesaw.edu/stories/2020/premier-lacrosse-at-fifth-third.php,"January 15, 2020"
118,Written by Whitten | Rosemary and John Brown's Transformational Gift,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/rosemary-and-john-brown-transformational-gift.php,"January 14, 2020"
119,KSU Releases 2020 Football Schedule,No Source,https://ksuowls.com/news/2020/1/9/kennesaw-state-releases-football-schedule-for-2020-campaign.aspx,"January 10, 2020"
120,Kennesaw State to honor Martin Luther King Jr.'s legacy,No Source,https://news.kennesaw.edu/stories/2020/mlk-week-2020.php,"January 09, 2020"
121,Written by Whitten | Spring 2020: New Entryways and Construction,No Source,https://president.kennesaw.edu/writtenbywhitten/posts/spring-2020-new-entryways-and-construction.php,"January 07, 2020"
122,Creative Expression,No Source,https://news.kennesaw.edu/stories/2019/art-and-design-alum.php,"January 06, 2020"
123,Key Dates to Remember,No Source,https://news.kennesaw.edu/stories/2019/key-dates-spring-2020.php,"January 02, 2020"
124,Noteworthy Contributions,No Source,https://news.kennesaw.edu/stories/2019/harry-price-feature.php,"January 02, 2020"
